Term, Definition
Intercalating dye / agent (also called DNA binding dye)," molecules that insert themselves between double stranded DNA. In qPCR, the agent releases a fluorescent signal during each reaction cycle proportional to the concentration of any DNA present in the reaction (including but not limited to the target DNA sequence). The strength of this fluorescent signal is compared to a standard curve to estimate DNA concentration. Examples of DNA intercalating dyes are SYBR-green and Eva-green."
Lab replicate / technical replicate," a PCR replicate, where the same DNA is tested in separate reactions."
Laboratory filtration blank," a type of negative control used when samples are filtered in the laboratory, enabling differentiation between contamination that occurred in the field (i.e., during sample collection or while manipulating samples from various stations and sites) from that which occurred during the filtration process."
Limit of detection (LOD)," the lowest concentration of analyte (i.e., target DNA) that can be detected with a defined level of confidence (with a 95% detection rate as the standard confidence level). The LOD can be determined using discrete threshold methods or curve fitting methods (Klymus et al. 2019)."
Limit of quantification (LOQ)," the lowest concentration of analyte (i.e., target DNA) in a sample that can be quantitatively determined with acceptable precision and accuracy, under stated experimental conditions. For qPCR assays, precision can be assessed using the coefficient of variation (CV) of measured concentrations of standards. The LOQ is critical in studies determining predictive relationships between eDNA concentration and target species biomass or relative abundance."
Marker, a DNA sequence that can be used to identify individuals or species where a variation is observable.
Master mix, a premixed concentrated solution that has all of the components for a PCR or qPCR reaction but not containing assay primers (and probes) and target DNA.
Metabarcoding, see DNA metabarcoding.
Metadata, a set of data that describes and gives information about other data.
Multiplex / multiplexing," Combining multiple assays using multiple genetic markers in a single qPCR reaction to detect one or more organisms. Multiplexing shortens processing times and reduces the use of reagents, but can be more difficult to optimize than single assay reactions."
"Negative detection in a qPCR replicate, sample, station, or site", level of detection that does not meet the limit of detection parameters.
Next-generation sequencing (NGS)," also known as high-throughput sequencing, is the catch-all term used to describe a number of different modern (non-Sanger-based) sequencing technologies (e.g., Illumina [Solexa] sequencing)."
Not detected, a test result indicating eDNA of a targeted species was determined to not be present in an eDNA sample.
Polymerase Chain Reaction (PCR)," a molecular technique that replicates and amplifies target DNA sequences to produce sufficient copies suitable for genetic analyses. It involves a process of heating and cooling (i.e., cycling), where primers bind to a matching DNA sequence during each cycle and a polymerase replicates the DNA sequence in between these primers. At the end of the PCR reaction, the target sequence is present in the reaction in millions of copies (amplicons). In order to visualize these short fragments of DNA, the PCR product must be run on gel electrophoresis. PCR is often referred to as conventional PCR (cPCR)."
"Positive detection in a qPCR replicate, sample, station, or site", level of detection that meets or exceeds the limit of detection parameters.
Primers," short single strand DNA sequences manufactured to a match specified sequence of an organism or a taxonomic group, which are used to initiate the PCR process."
Probe," a fluorescent-labeled oligonucleotide (short sequence of DNA or RNA) that is added to the qPCR reaction which recognizes a specific sequence on the desired PCR product. qPCR probes offer an alternative to DNA-binding dyes (intercalating agents), as they typically increase specificity and sensitivity since only target specific DNA molecules will be labelled. In a probe-based qPCR, the probe releases a fluorescent signal during each reaction cycle, proportional to the concentration of the target DNA sequence. The strength of this fluorescent signal is compared to a standard curve to estimate the target DNA concentration."
qPCR blank, a type of negative control used in qPCR that includes all PCR reaction components but no DNA. Also referred to as a no template control (NTC). Amplification in a qPCR blank indicates contamination occurred at the qPCR step.
qPCR efficiency," the fraction of DNA molecules that amplified (i.e., thus doubling the concentration of DNA as expected) in one PCR cycle. It is an indicator of the performance of a qPCR assay. It represents the ratio of the number of target gene molecules at the end of a qPCR cycle divided by the number of target molecules at the start of the same qPCR cycle. Typically, acceptable qPCR efficiencies are in the range of 90-110%."
Quantification cycle, see Cq.
Quantitative Polymerase Chain Reaction (qPCR)," the real-time quantification of amplified DNA fragments during the PCR reaction. qPCR makes use of the same principles of PCR involving primers and a DNA polymerase, but employs a DNA binding dye that intercalates with DNA or a probe that hybridizes with target sequence allowing for real time visualization of amplification of the target sequence (amplicon). Depending on the approach, this method can result in absolute quantification within a sample or relative quantification between samples."
Relative quantification," analyzes changes in a given sample relative to another sample (e.g., an untreated control sample)."
Repeatability, the level of agreement between results of replicates both within and between runs of the same test method in a given laboratory.
Replicate, repeated collection or analysis of a sample to reduce error in results caused by high levels of variation among repeated measures.
Reproducibility, defined as the ability of a test method to provide consistent results when applied to aliquots of the same samples tested in different laboratories using the identical assay (including reagents and controls).
Sample degradation," when the DNA or RNA in a sample decays as a result of improper preservation and storage due to biotic factors (e.g., fungi and bacteria activity in the presence of excess moisture and air for an extended period of time) and procedural factors (e.g., repeated freezing and thawing of DNA samples). Degradation negatively impacts sample quality. As a result it is important to filter and preserve eDNA samples as soon as possible after collection to prevent sample degradation."
Sampling effort," number of sites, stations, and field replicates. The level of sampling effort required varies with the eDNA assemblage in the ecosystem and is determined based on the minimum level of effort necessary to reach the required level of confidence in the assessment."
Sanger sequencing, the traditional method of DNA sequencing based on the selective incorporation of chain-terminating dideoxynucleotides by DNA polymerase during in vitro DNA replication.
Semi-targeted approaches, see community approaches.
Sensitivity, refers to a qPCR assay’s ability to detect it’s intended target. The ability to detect a true positive.
Single-species approach, see targeted methods.
Site," a specific area, within a selected sample location, where water (or other environmental substrate) will be collected."
Species at Risk Act listed species," species listed on the List of Wildlife Species at Risk as set out in Schedule 1 of the Species at Risk Act (2002). A species at risk means an extirpated, endangered, or threatened species or a species of special concern."
Species monitoring / biomonitoring," the process of making reliable observations from nature to detect, measure, assess and draw conclusions about how species are changing through time and space."
Species-specific primer, a primer designed to amplify a unique gene region specific to a single species.
Specificity," in terms of a qPCR assay, is the ability to discriminate or differentiate between species that are genetically similar. The ability of an assay to detect a true negative."
Standard operating procedure (SOP)," a set of written instructions that provide a detailed description of how to perform a laboratory process or experiment safely, effectively, and consistently."
Station, refers to spatially distinct sampling locations within a site.
Target / target sequence," a key DNA sequence, gene or region of interest that once amplified allows for the identification of the target taxonomic group."
Targeted methods," a study design method that uses species-specific primers in an attempt to detect a single species from a sample, typically achieved through qPCR."
Taxonomic groups / taxon," a grouping of organisms assigned to a particular category of classification (e.g., species, genus, order)."
Thermocycler parameters / cycling parameters," each cycle of PCR reaction involves a step for template denaturation, primer annealing and primer extension. Thermocycler parameters / cycling parameters correspond to the temperature and time required for each of these steps. The cycling parameters also include the number of times the PCR reaction needs to be repeated to achieve maximum amplification (typically 35-40 cycles)."
Universal primer, a primer designed to amplify a highly conserved gene region across multiple taxa.
Validation / validated methods," the process used to confirm that an analytical procedure employed for a specific test is suitable for its intended use. Validated methods yield quality, reliability and consistency of analytical results."
