"","occurrenceID","bibliographicCitation","materialSampleID","eventDate","decimalLatitude","decimalLongitude","scientificName","organismQuantity","organismQuantityType","sampleSizeValue","sampleSizeUnit","associatedSequences","basisOfRecord","locationID","recordedBy","country","datasetID","occurrenceStatus","minimumDepthInMeters","maximumDepthInMeters","language","month","year","taxonID","scientificNameID","kingdom","phylum","class","order","family","genus"
"1","22-SAB24.EDNA.001-COI-Micr-1",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Micromonas_pusilla",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,134564,"urn:lsid:marinespecies.org:taxname:134564","Plantae",NA,"Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas"
"12","22-SAB24.EDNA.001-COI-Micr-12",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Micromonas_pusilla",1028,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","present",85,85,"en",8,2024,134564,"urn:lsid:marinespecies.org:taxname:134564","Plantae",NA,"Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas"
"13","22-SAB24.EDNA.001-COI-Micr-13",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Micromonas_pusilla",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,134564,"urn:lsid:marinespecies.org:taxname:134564","Plantae",NA,"Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas"
"14","22-SAB24.EDNA.001-COI-Micr-14",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Micromonas_pusilla",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,134564,"urn:lsid:marinespecies.org:taxname:134564","Plantae",NA,"Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas"
"15","22-SAB24.EDNA.001-COI-Micr-15",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Micromonas_pusilla",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,134564,"urn:lsid:marinespecies.org:taxname:134564","Plantae",NA,"Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas"
"16","22-SAB24.EDNA.001-COI-Poly-16",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Polyphysia_crassa",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,130977,"urn:lsid:marinespecies.org:taxname:130977","Animalia","Annelida","Polychaeta",NA,"Scalibregmatidae","Polyphysia"
"17","22-SAB24.EDNA.001-COI-Prim-17",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Primnoa_pacifica",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,286539,"urn:lsid:marinespecies.org:taxname:286539","Animalia","Cnidaria","Octocorallia","Scleralcyonacea","Primnoidae","Primnoa"
"18","22-SAB24.EDNA.001-COI-Pseu-18",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Pseudocalanus_minutus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,104517,"urn:lsid:marinespecies.org:taxname:104517","Animalia","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Pseudocalanus"
"19","22-SAB24.EDNA.001-COI-Ophi-19",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Ophiura_sarsii",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,124934,"urn:lsid:marinespecies.org:taxname:124934","Animalia","Echinodermata","Ophiuroidea","Ophiurida","Ophiuridae","Ophiura"
"20","22-SAB24.EDNA.001-COI-Ophi-20",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Ophiura_sarsii",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,124934,"urn:lsid:marinespecies.org:taxname:124934","Animalia","Echinodermata","Ophiuroidea","Ophiurida","Ophiuridae","Ophiura"
"21","22-SAB24.EDNA.001-COI-Gorg-21",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Gorgonocephalus_arcticus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,124966,"urn:lsid:marinespecies.org:taxname:124966","Animalia","Echinodermata","Ophiuroidea","Euryalida","Gorgonocephalidae","Gorgonocephalus"
"22","22-SAB24.EDNA.001-COI-Gorg-22",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Gorgonocephalus_arcticus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,124966,"urn:lsid:marinespecies.org:taxname:124966","Animalia","Echinodermata","Ophiuroidea","Euryalida","Gorgonocephalidae","Gorgonocephalus"
"23","22-SAB24.EDNA.001-COI-Gorg-23",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Gorgonocephalus_arcticus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,124966,"urn:lsid:marinespecies.org:taxname:124966","Animalia","Echinodermata","Ophiuroidea","Euryalida","Gorgonocephalidae","Gorgonocephalus"
"24","22-SAB24.EDNA.001-COI-Gorg-24",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Gorgonocephalus_arcticus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,124966,"urn:lsid:marinespecies.org:taxname:124966","Animalia","Echinodermata","Ophiuroidea","Euryalida","Gorgonocephalidae","Gorgonocephalus"
"25","22-SAB24.EDNA.001-COI-Ecty-25",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Ectyonopsis_pluridentata",5,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","present",85,85,"en",8,2024,169398,"urn:lsid:marinespecies.org:taxname:169398","Animalia","Porifera","Demospongiae","Poecilosclerida","Myxillidae","Ectyonopsis"
"26","22-SAB24.EDNA.001-COI-Ophi-26",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Ophiopholis_aculeata",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,125125,"urn:lsid:marinespecies.org:taxname:125125","Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Ophiopholidae","Ophiopholis"
"27","22-SAB24.EDNA.001-COI-Halo-27",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Halocynthia_pyriformis",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,103828,"urn:lsid:marinespecies.org:taxname:103828","Animalia","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Halocynthia"
"28","22-SAB24.EDNA.001-COI-Aste-28",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Asterocheres_lilljeborgi",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,135708,"urn:lsid:marinespecies.org:taxname:135708","Animalia","Arthropoda","Copepoda","Siphonostomatoida","Asterocheridae","Asterocheres"
"29","22-SAB24.EDNA.001-COI-Cala-29",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Calanus_finmarchicus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,104464,"urn:lsid:marinespecies.org:taxname:104464","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus"
"30","22-SAB24.EDNA.001-COI-Cala-30",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Calanus_finmarchicus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,104464,"urn:lsid:marinespecies.org:taxname:104464","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus"
"31","22-SAB24.EDNA.001-COI-Cala-31",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Calanus_finmarchicus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,104464,"urn:lsid:marinespecies.org:taxname:104464","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus"
"32","22-SAB24.EDNA.001-COI-Cala-32",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Calanus_finmarchicus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,104464,"urn:lsid:marinespecies.org:taxname:104464","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus"
"33","22-SAB24.EDNA.001-COI-Cent-33",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Centropages_hamatus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,104496,"urn:lsid:marinespecies.org:taxname:104496","Animalia","Arthropoda","Copepoda","Calanoida","Centropagidae","Centropages"
"34","22-SAB24.EDNA.001-COI-Thel-34",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Thelepus_cincinnatus",74,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","present",85,85,"en",8,2024,131543,"urn:lsid:marinespecies.org:taxname:131543","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Thelepus"
"35","22-SAB24.EDNA.001-COI-Pseu-35",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Pseudopotamilla_reniformis",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,130963,"urn:lsid:marinespecies.org:taxname:130963","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Pseudopotamilla"
"36","22-SAB24.EDNA.001-COI-Pter-36",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Pteraster_militaris",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,124147,"urn:lsid:marinespecies.org:taxname:124147","Animalia","Echinodermata","Asteroidea","Velatida","Pterasteridae","Pteraster"
"37","22-SAB24.EDNA.001-COI-Yold-37",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Yoldiella_frigida",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,141997,"urn:lsid:marinespecies.org:taxname:141997","Animalia","Mollusca","Bivalvia","Nuculanida","Yoldiidae","Yoldiella"
"38","22-SAB24.EDNA.001-COI-Phol-38",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Pholoe_pallida",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,130604,"urn:lsid:marinespecies.org:taxname:130604","Animalia","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Pholoe"
"39","22-SAB24.EDNA.001-COI-Phol-39",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Pholoe_pallida",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,130604,"urn:lsid:marinespecies.org:taxname:130604","Animalia","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Pholoe"
"40","22-SAB24.EDNA.001-COI-Thel-40",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Thelepus_cincinnatus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,131543,"urn:lsid:marinespecies.org:taxname:131543","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Thelepus"
"41","22-SAB24.EDNA.001-COI-Thel-41",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Thelepus_cincinnatus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,131543,"urn:lsid:marinespecies.org:taxname:131543","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Thelepus"
"42","22-SAB24.EDNA.001-COI-Laon-42",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Laonice_cirrata",123,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","present",85,85,"en",8,2024,131128,"urn:lsid:marinespecies.org:taxname:131128","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Laonice"
"43","22-SAB24.EDNA.001-COI-Pseu-43",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Pseudocalanus_acuspes",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,104514,"urn:lsid:marinespecies.org:taxname:104514","Animalia","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Pseudocalanus"
"44","22-SAB24.EDNA.001-COI-Para-44",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Paraeuchaeta_norvegica",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,104566,"urn:lsid:marinespecies.org:taxname:104566","Animalia","Arthropoda","Copepoda","Calanoida","Euchaetidae","Paraeuchaeta"
"45","22-SAB24.EDNA.001-COI-Aste-45",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Asterocheres_lilljeborgi",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,135708,"urn:lsid:marinespecies.org:taxname:135708","Animalia","Arthropoda","Copepoda","Siphonostomatoida","Asterocheridae","Asterocheres"
"46","22-SAB24.EDNA.001-COI-Dend-46",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Dendrobeania_murrayana",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,111174,"urn:lsid:marinespecies.org:taxname:111174","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Bugulidae","Dendrobeania"
"47","22-SAB24.EDNA.001-COI-Cent-47",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Centropages_hamatus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,104496,"urn:lsid:marinespecies.org:taxname:104496","Animalia","Arthropoda","Copepoda","Calanoida","Centropagidae","Centropages"
"48","22-SAB24.EDNA.001-COI-Cent-48",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Centropages_hamatus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,104496,"urn:lsid:marinespecies.org:taxname:104496","Animalia","Arthropoda","Copepoda","Calanoida","Centropagidae","Centropages"
"49","22-SAB24.EDNA.001-COI-Cent-49",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Centropages_hamatus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,104496,"urn:lsid:marinespecies.org:taxname:104496","Animalia","Arthropoda","Copepoda","Calanoida","Centropagidae","Centropages"
"50","22-SAB24.EDNA.001-COI-Psol-50",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Psolus_phantapus",11,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","present",85,85,"en",8,2024,124710,"urn:lsid:marinespecies.org:taxname:124710","Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Psolidae","Psolus"
"51","22-SAB24.EDNA.001-COI-Ster-51",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Sternaspis_scutata",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,131242,"urn:lsid:marinespecies.org:taxname:131242","Animalia","Annelida","Polychaeta","Terebellida","Sternaspidae","Sternaspis"
