"","occurrenceID","bibliographicCitation","materialSampleID","eventDate","decimalLatitude","decimalLongitude","scientificName","organismQuantity","organismQuantityType","sampleSizeValue","sampleSizeUnit","associatedSequences","basisOfRecord","locationID","recordedBy","country","datasetID","occurrenceStatus","minimumDepthInMeters","maximumDepthInMeters","language","month","year","taxonID","scientificNameID","kingdom","phylum","class","order","family","genus"
"11","22-SAB24.EDNA.043-12S-Alop-74",NA,"SAB24.EDNA.043",2024-08-14,45.90094,-59.6065,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","CURDO_4","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",60,60,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"12","22-SAB24.EDNA.040-12S-Alop-74",NA,"SAB24.EDNA.040",2024-08-14,45.90528,-59.6082,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","CURDO_7","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",67,67,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"13","22-SAB24.EDNA.031-12S-Alop-74",NA,"SAB24.EDNA.031",2024-08-14,45.87983,-59.6105,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","CURDO_8","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",55,55,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"14","22-SAB24.EDNA.028-12S-Alop-74",NA,"SAB24.EDNA.028",2024-08-12,46.2719,-59.2382,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_13","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",110,110,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"15","22-SAB24.EDNA.077-12S-Alop-74",NA,"SAB24.EDNA.077",2024-08-16,45.86279,-59.2751,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_9","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",90,90,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"16","22-SAB24.EDNA.062-12S-Alop-74",NA,"SAB24.EDNA.062",2024-08-14,45.84383,-59.5824,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_1","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",63,63,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"17","22-SAB24.EDNA.041-12S-Alop-74",NA,"SAB24.EDNA.041",2024-08-14,45.90528,-59.6082,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","CURDO_7","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",67,67,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"18","22-SAB24.EDNA.007-12S-Alop-74",NA,"SAB24.EDNA.007",2024-08-08,46.03671,-58.9744,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_20","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",135,135,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"19","22-AZMP2024.EDNA.053-12S-Alop-74",NA,"AZMP2024.EDNA.053",2024-10-20,46.64487,-58.5453,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","STAB_06","Harri Pettitt-Wade | Lindsay Beazley","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",405,405,"en",10,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"20","22-SAB24.EDNA.075-12S-Alop-74",NA,"SAB24.EDNA.075",2024-08-16,45.85358,-59.43378,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_5","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",89,89,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"21","22-SAB24.EDNA.006-12S-Alop-74",NA,"SAB24.EDNA.006",2024-08-08,45.98929,-58.8898,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_21","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",96.8,96.8,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"22","22-SAB24.EDNA.068-12S-Alop-74",NA,"SAB24.EDNA.068",2024-08-15,45.94501,-59.4234,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_6","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",75,75,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"23","22-SAB24.EDNA.036-12S-Alop-74",NA,"SAB24.EDNA.036",2024-08-14,45.88485,-59.6054,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","CURDO_5","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",55,55,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"24","22-SAB24.EDNA.049-12S-Alop-74",NA,"SAB24.EDNA.049",2024-08-14,45.89139,-59.6018,"Alopias vulpinus",245,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","CURDO_10","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","present",18,18,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"25","22-SAB24.EDNA.018-12S-Alop-74",NA,"SAB24.EDNA.018",2024-08-09,46.05632,-59.4121,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_07","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",66.7,66.7,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"26","22-AZMP2024.EDNA.057-12S-Alop-74",NA,"AZMP2024.EDNA.057",2024-10-21,46.30005,-59.0645,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","STAB_04","Harri Pettitt-Wade | Lindsay Beazley","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",150,150,"en",10,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"27","22-SAB24.EDNA.069-12S-Alop-74",NA,"SAB24.EDNA.069",2024-08-15,45.94039,-59.2588,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_10","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",55,55,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"28","22-SAB24.EDNA.086-12S-Alop-74",NA,"SAB24.EDNA.086",2024-08-16,45.93667,-59.1007,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_15","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",94,94,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"29","22-SAB24.EDNA.074-12S-Alop-74",NA,"SAB24.EDNA.074",2024-08-16,45.85358,-59.43378,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_5","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",89,89,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"30","22-SAB24.EDNA.016-12S-Alop-74",NA,"SAB24.EDNA.016",2024-08-09,46.06181,-59.567,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_03","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",54.8,54.8,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"31","22-AZMP2024.EDNA.062-12S-Alop-74",NA,"AZMP2024.EDNA.062",2024-10-21,45.99982,-59.5329,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","STAB_01","Harri Pettitt-Wade | Lindsay Beazley","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",50,50,"en",10,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"32","22-SAB24.EDNA.087-12S-Alop-74",NA,"SAB24.EDNA.087",2024-08-16,45.93667,-59.1007,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_15","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",94,94,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"33","22-SAB24.EDNA.078-12S-Alop-74",NA,"SAB24.EDNA.078",2024-08-16,45.86279,-59.2751,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_9","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",90,90,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"34","22-SAB24.EDNA.055-12S-Alop-74",NA,"SAB24.EDNA.055",2024-08-14,45.89205,-59.5834,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","CURDO_6","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",52,52,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"35","22-AZMP2024.EDNA.060-12S-Alop-74",NA,"AZMP2024.EDNA.060",2024-10-21,46.10833,-59.3643,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","STAB_02","Harri Pettitt-Wade | Lindsay Beazley","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",65,65,"en",10,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"36","22-AZMP2024.EDNA.006-12S-Alop-74",NA,"AZMP2024.EDNA.006",2024-10-06,41.86657,-65.35,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","BBL_07","Harri Pettitt-Wade | Lindsay Beazley","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",1890,1890,"en",10,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"37","22-SAB24.EDNA.060-12S-Alop-74",NA,"SAB24.EDNA.060",2024-08-14,45.89263,-59.5791,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","CURDO_9","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",58,58,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"38","22-SAB24.EDNA.003-12S-Alop-74",NA,"SAB24.EDNA.003",2024-08-08,46.04525,-59.0925,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"39","22-SAB24.EDNA.090-12S-Alop-74",NA,"SAB24.EDNA.090",2024-08-17,45.87141,-59.5662,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","CAM_34","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",38,38,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"40","22-AZMP2024.EDNA.061-12S-Alop-74",NA,"AZMP2024.EDNA.061",2024-10-21,46.10833,-59.3643,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","STAB_02","Harri Pettitt-Wade | Lindsay Beazley","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",65,65,"en",10,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"41","22-SAB24.EDNA.066-12S-Alop-74",NA,"SAB24.EDNA.066",2024-08-15,45.94501,-59.4234,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_6","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",75,75,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"42","22-SAB24.EDNA.044-12S-Alop-74",NA,"SAB24.EDNA.044",2024-08-14,45.90094,-59.6065,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","CURDO_4","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",60,60,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"43","22-AZMP2024.EDNA.055-12S-Alop-74",NA,"AZMP2024.EDNA.055",2024-10-21,46.41679,-58.8834,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","STAB_05","Harri Pettitt-Wade | Lindsay Beazley","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",370,370,"en",10,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"44","22-SAB24.EDNA.094-12S-Alop-74",NA,"SAB24.EDNA.094",2024-08-17,45.82702,-59.6432,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","CAM_37","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"45","22-SAB24.EDNA.070-12S-Alop-74",NA,"SAB24.EDNA.070",2024-08-15,45.94039,-59.2588,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_10","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",55,55,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"46","22-SAB24.EDNA.051-12S-Alop-74",NA,"SAB24.EDNA.051",2024-08-14,45.89139,-59.6018,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","CURDO_10","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",18,18,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"47","22-AZMP2024.EDNA.039-12S-Alop-74",NA,"AZMP2024.EDNA.039",2024-10-15,43.88835,-58.9536,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","GUL_03","Harri Pettitt-Wade | Lindsay Beazley","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",1771,1771,"en",10,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"48","22-SAB24.EDNA.023-12S-Alop-74",NA,"SAB24.EDNA.023",2024-08-09,46.1422,-59.5672,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_04","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",36.5,36.5,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"49","22-SAB24.EDNA.033-12S-Alop-74",NA,"SAB24.EDNA.033",2024-08-14,45.87983,-59.6105,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","CURDO_8","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",55,55,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"50","22-SAB24.EDNA.089-12S-Alop-74",NA,"SAB24.EDNA.089",2024-08-17,45.87141,-59.5662,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","CAM_34","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",38,38,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"51","22-SAB24.EDNA.052-12S-Alop-74",NA,"SAB24.EDNA.052",2024-08-14,45.8925,-59.5943,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","CURDO_3","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",19,19,"en",8,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"52","22-AZMP2024.EDNA.054-12S-Alop-74",NA,"AZMP2024.EDNA.054",2024-10-21,46.41679,-58.8834,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","STAB_05","Harri Pettitt-Wade | Lindsay Beazley","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",370,370,"en",10,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"53","22-AZMP2024.EDNA.040-12S-Alop-74",NA,"AZMP2024.EDNA.040",2024-10-15,43.88835,-58.9536,"Alopias vulpinus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","GUL_03","Harri Pettitt-Wade | Lindsay Beazley","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",1771,1771,"en",10,2024,105836,"urn:lsid:marinespecies.org:taxname:105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
